,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_elasticnet__alpha,param_elasticnet__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
92,0.0050262451171875,0.0018582221272566805,0.0011752128601074218,5.793451771068637e-05,0.19473684210526315,0.30000000000000004,"{'elasticnet__alpha': 0.19473684210526315, 'elasticnet__l1_ratio': 0.30000000000000004}",-0.39403736872377865,-0.5462852299649608,-0.5144195639052068,-0.48098486691858555,-0.5432725711462844,-0.5122816473441556,-0.46024102884706186,-0.49726643622796346,-0.553275810738102,-0.41565346439984585,-0.49177179882159444,0.05179490362339656,55,-0.4519761511401761,-0.4400987126888485,-0.44478267629803814,-0.4481153567579113,-0.44470573839294125,-0.4386110344532455,-0.44996765251436704,-0.45157904595052306,-0.43903355368482955,-0.4473065008903444,-0.4456176422771225,0.004779251775071168
93,0.004817080497741699,0.0012928718028071512,0.0013646364212036132,0.00037277856175246533,0.19473684210526315,0.4,"{'elasticnet__alpha': 0.19473684210526315, 'elasticnet__l1_ratio': 0.4}",-0.4038733761449967,-0.5602300937332151,-0.5307586603767541,-0.4910525683255204,-0.5549044724856733,-0.5144082750614645,-0.47897141646668684,-0.5269879739100833,-0.5686297620371173,-0.4199641342300605,-0.5049780732771572,0.053995154586563184,76,-0.4719456760696862,-0.45636900016562226,-0.46508061135772605,-0.46842655834407027,-0.4627408226124431,-0.45661304600829267,-0.4662426035648211,-0.46942726812810726,-0.45584174427009605,-0.46651752417155423,-0.4639204854692419,0.005528083142570014
94,0.004362559318542481,0.0014931466316848547,0.0013269662857055664,0.0002639838951059394,0.19473684210526315,0.5,"{'elasticnet__alpha': 0.19473684210526315, 'elasticnet__l1_ratio': 0.5}",-0.41735954209604337,-0.5682099837630828,-0.5502071784244068,-0.49851531643582075,-0.5606165621509325,-0.5141456637388658,-0.49809196189182636,-0.5552322087517988,-0.586515164835221,-0.4283418906824813,-0.5177235472770481,0.055147288435068546,99,-0.48885892294225225,-0.47199044683455516,-0.48312506774707764,-0.48442906629568083,-0.4812434734831982,-0.4747324333773978,-0.48321728782689677,-0.48479989618859615,-0.4750407050269206,-0.48563453754085073,-0.4813071837263426,0.005234070023191293
95,0.005640220642089844,0.0007069768826773459,0.0016321659088134766,0.0003723944771960259,0.19473684210526315,0.6,"{'elasticnet__alpha': 0.19473684210526315, 'elasticnet__l1_ratio': 0.6}",-0.42505480963742537,-0.5704533134676283,-0.5705516265150257,-0.4952600299768556,-0.561065862512747,-0.524666930637279,-0.5101296963100038,-0.5663618998224255,-0.5988886836577144,-0.4344478133237132,-0.5256880665860818,0.056481636899030796,117,-0.5034505809245476,-0.4832459344913946,-0.4985215841839554,-0.497462575004792,-0.49742321623580804,-0.4938119991550574,-0.49759114486384837,-0.49503069683382755,-0.4899705230515597,-0.5021879165821552,-0.4958696171326946,0.005580626714698852
96,0.005594778060913086,0.0008358113109894339,0.0017365217208862305,0.0003812343385264626,0.19473684210526315,0.7000000000000001,"{'elasticnet__alpha': 0.19473684210526315, 'elasticnet__l1_ratio': 0.7000000000000001}",-0.4296379638118506,-0.5693454826479715,-0.5875048949528515,-0.49155804832696504,-0.5627214193983541,-0.5324374115497124,-0.5150459369484562,-0.57676636737599,-0.6014500756353169,-0.445519320026427,-0.5311986920673895,0.05667475739407314,134,-0.5158402799900819,-0.49402175191173,-0.5106749162271184,-0.5079399841731175,-0.5094668149739582,-0.5053646447561874,-0.5056928354615419,-0.5011257434535744,-0.5001551341484567,-0.5125776699537664,-0.5062859775049533,0.006154782649803779
97,0.0052527904510498045,0.0008869497154765978,0.0017783164978027344,0.0006730378098240251,0.19473684210526315,0.8,"{'elasticnet__alpha': 0.19473684210526315, 'elasticnet__l1_ratio': 0.8}",-0.4357263577955332,-0.5704336399731937,-0.5983037681163422,-0.4899480956192942,-0.5693250228604482,-0.5394891385577104,-0.5175974469863892,-0.5887702450404492,-0.6030625297789802,-0.4548477650561599,-0.53675040097845,0.057067098557191345,149,-0.5248920624559208,-0.5025884942900803,-0.5184351592258019,-0.517132195435632,-0.5185401850496847,-0.5128953464808838,-0.5123146958801887,-0.5072677876738451,-0.509149043732981,-0.5188214339348041,-0.5142036404159821,0.006282519819958999
98,0.004610204696655273,0.0013399230678311324,0.0012764215469360351,0.0001982219307518958,0.19473684210526315,0.9,"{'elasticnet__alpha': 0.19473684210526315, 'elasticnet__l1_ratio': 0.9}",-0.4464782175140126,-0.5725503281279866,-0.6077087898296323,-0.48906037921478285,-0.5746691114028513,-0.5458819630299911,-0.5200009905955086,-0.6009429897616182,-0.6004148100038228,-0.4687684820210758,-0.5426476061501283,0.05566821915370021,162,-0.5323003118563095,-0.5114405744981476,-0.5266397395534825,-0.5250965486157315,-0.5267816458554277,-0.5208252566752685,-0.5200926789686748,-0.5139704563295523,-0.5176964748261704,-0.5258537086618393,-0.5220697395840603,0.006118758493635
99,0.004919958114624023,0.001068590809754525,0.0018963336944580079,0.001125540511638394,0.19473684210526315,1.0,"{'elasticnet__alpha': 0.19473684210526315, 'elasticnet__l1_ratio': 1.0}",-0.4580754103364474,-0.5754125897863849,-0.6176101146189403,-0.48499795520876876,-0.5826129589618179,-0.5513377011132222,-0.5238809913922264,-0.6064346439159916,-0.6040117132168443,-0.48091790405103135,-0.5485291982601674,0.05522024816960218,170,-0.5388332370676173,-0.5195018155569825,-0.533148502662302,-0.532341982913869,-0.5334868698703777,-0.5275954808564072,-0.5281372636926275,-0.5195217288564115,-0.5235693111542102,-0.5321010659600187,-0.5288237258590824,0.006056169266489634
100,0.00494089126586914,0.0010821862702872023,0.0017092227935791016,0.0005010994553704428,0.20526315789473684,0.1,"{'elasticnet__alpha': 0.20526315789473684, 'elasticnet__l1_ratio': 0.1}",-0.3721232550391765,-0.5330032487676014,-0.4937560714023331,-0.4679574532936873,-0.5134053239051154,-0.48738509326157586,-0.4368193825333126,-0.44664641472802924,-0.5289315722378258,-0.42451093779460847,-0.47045387529632665,0.048467021133310854,14,-0.41788224596017337,-0.40773917811567134,-0.410368689575597,-0.41176079206418587,-0.4093282591346627,-0.4071181822475247,-0.41230637573048684,-0.4158321304933211,-0.407939729390979,-0.41116069606303773,-0.41114362787756403,0.0033328628118400715
101,0.005041980743408203,0.0011982661110542209,0.001463174819946289,0.00036142981124255086,0.20526315789473684,0.2,"{'elasticnet__alpha': 0.20526315789473684, 'elasticnet__l1_ratio': 0.2}",-0.38094760221336915,-0.5387212979219314,-0.5060958274734862,-0.4773415681749785,-0.5296156726536047,-0.5056152307557845,-0.44862222687246406,-0.47419930311554753,-0.544470133328163,-0.41449591241495287,-0.4820124774924282,0.051468804613733654,38,-0.43556479964805056,-0.42579772449203607,-0.42868502375988227,-0.43147566799265513,-0.4280811245595225,-0.4229026283822188,-0.4337349238242807,-0.4354492642900411,-0.42170157724987045,-0.43145404750920596,-0.4294846781707764,0.004674978990748516
