ElasticNet,GBM,RF,SVM
-0.8943853896416815,-0.8948879715132995,-0.9187812663022534,-0.8933309327496005
-0.8460394940582701,-0.8487802619254231,-0.8176033308996554,-0.8464817791816962
-0.8457882135941265,-0.8391148966386772,-0.8229482382574438,-0.8200475750598711
-0.8075326842056763,-0.8192682044576274,-0.856541588648997,-0.8480453436178663
-0.8399024519071951,-0.8380437224841489,-0.8782414011010445,-0.8438637692220782
