"","Age-Linear","Age-Generalized","Video","All"
"1",0.571838866104031,0.60150592917537,0.460676970950066,0.630008230657946
"2",0.555256998888388,0.565159936904289,0.494764249372413,0.664885690594932
"3",0.670601549914164,0.696400945199403,0.486064730246037,0.664407932561254
"4",0.617950483491461,0.643147940819341,0.521412569423206,0.664390887872659
"5",0.701384283864371,0.725770873485187,0.607325347862013,0.75242844654171
"6",0.637531136938166,0.65720814481395,0.471184385415693,0.625975549182397
"7",0.5859819491819,0.592605079695546,0.537860151465677,0.639607555015716
"8",0.643663587228509,0.655568210635437,0.569583223725098,0.662358188732087
"9",0.641459399070652,0.662440520318271,0.464255199720819,0.629176818938739
"10",0.472721735708723,0.484918985287045,0.511132747621401,0.580884832820263
"11",0.474199417588383,0.486532232050976,0.530791766829168,0.596186590608984
"12",0.652373393801184,0.642666453399844,0.56800177217726,0.6753990487404
"13",0.564594604566581,0.556570950549837,0.534367358271181,0.639013173961955
"14",0.546304046075327,0.56767020510334,0.571423044068806,0.656032359877579
"15",0.687197219816524,0.701337463736875,0.559709834491553,0.753264837936083
"16",0.685675681103034,0.711319286874116,0.611740814282388,0.74042927402184
"17",0.576476567823778,0.60077701598745,0.608092361624538,0.673500912225942
"18",0.607246519916818,0.600875213761923,0.579566239609319,0.699429002624746
"19",0.604108904752303,0.631018542733792,0.561294297424391,0.660078254158619
"20",0.532793300228497,0.537180796786248,0.520169367936643,0.591203647236208
"21",0.559367216996525,0.583823283801825,0.473792376743051,0.602982820580706
"22",0.564598530339985,0.577211463468739,0.544303232901541,0.646526285858286
"23",0.59501228206441,0.60451543114134,0.625408009392782,0.732348674238565
"24",0.691739300760768,0.705255618003547,0.547540693985087,0.7128710343245
"25",0.681321431889051,0.679318208636583,0.592210175159513,0.728128268920699
"26",0.618838136576212,0.632638884967337,0.554915314783569,0.713061044296529
"27",0.585930765870816,0.603943913015565,0.513083371906204,0.671954516010114
"28",0.581156870416132,0.598210263915074,0.458905224613885,0.626033418421829
"29",0.61021803881176,0.580996343812464,0.617918183428439,0.670189837280149
"30",0.677193503823182,0.689408916165397,0.644416989842032,0.718262939441548
"31",0.626373369824812,0.634481439800008,0.561469663484528,0.686744187186697
"32",0.617723956776976,0.646985520238505,0.504070731840673,0.626871840720071
"33",0.631210178246985,0.617722017409696,0.532868740883411,0.704969945123497
"34",0.639345075040403,0.634620231762203,0.658039609076213,0.701044494999959
"35",0.635908741361646,0.615204295612346,0.548896977459348,0.683533486567086
"36",0.582952217004001,0.596191401670651,0.539788905681003,0.634124575921136
"37",0.668513983454834,0.668989574386732,0.621979518499963,0.70350429476461
"38",0.714348829937026,0.722429532735168,0.58675537969496,0.73404344709512
"39",0.640855638736733,0.658453142577469,0.551827312418659,0.67293676702084
"40",0.479451233927015,0.510700442568249,0.391786190689868,0.53455691188155
"41",0.613109011073476,0.631587965137397,0.584896312379536,0.669459883240224
"42",0.679431807022975,0.691421485092941,0.63988021316795,0.744503877106325
"43",0.611639095985173,0.623589233572439,0.552346604762703,0.687508569259255
"44",0.581229675563848,0.588308590026835,0.514847172236984,0.636746602939334
"45",0.563130392361071,0.585108944876672,0.524934143287326,0.630250495384267
"46",0.575638520510253,0.601807299998562,0.416009731057179,0.593524313911494
"47",0.641224143575959,0.647650317049855,0.589058320476137,0.67961182737788
"48",0.664585171649606,0.675861654366473,0.521866019853247,0.700290825581177
"49",0.477361745711881,0.492039658903903,0.551631897486329,0.59555044636088
"50",0.621266425277219,0.63081943784948,0.512195193082549,0.608909086892931
