"","LR-Enet","SVM","RF","XGB"
"1",1.79115865796007,1.73677041775322,1.75283020791023,1.79106392428201
"2",1.70924480090356,1.81971472939102,1.58567731904058,1.74201430821124
"3",1.60738830089887,1.79644701646491,1.45375622140075,1.59474592621256
"4",1.55640185064311,1.74022487427507,1.43996277475503,1.52241394800299
"5",1.46618822431818,1.65018019199245,1.42056306928375,1.45347996080141
"6",1.60700449141014,1.69273398381827,1.57463029042319,1.74716826610198
"7",1.81349598197689,1.66340853481179,1.70621520936588,1.72748293652856
"8",1.69562300365411,1.63810077249447,1.61259431794788,1.69765899526414
"9",1.66076473589317,1.86838929985606,1.54021033790771,1.63795071393305
"10",1.5213029515489,1.58754927965246,1.40927282461284,1.51804367039622
"11",1.82837785065132,1.88728459708032,1.673259074083,1.89543057753118
"12",1.7175806500313,1.7778832882699,1.7177368141986,1.79549680472316
"13",1.65920846199825,1.72957069232148,1.53148902441133,1.77650311194529
"14",1.64593706454659,1.73293181235746,1.54338327310035,1.66978933065939
"15",1.66812432398513,1.66517258295836,1.59176128259666,1.77159503593569
"16",1.53134773078194,1.70483499492323,1.54161992258618,1.64886602199455
"17",1.75273724640526,2.01080431053087,1.65115840867901,1.62038274619229
"18",1.61541752153344,1.9102281217344,1.52022027511546,1.54124736552145
"19",1.68309726135198,1.74136497916791,1.63467208963313,1.60508080146468
"20",1.57653510648803,1.72491285409147,1.60365246127683,1.6679315358081
"21",1.72988550994499,1.93244690491944,1.77863243268793,1.71872603549959
"22",1.66695060868706,1.73077115133927,1.52603414128795,1.65438662482326
"23",1.67265329551581,1.75719535384142,1.60316316387043,1.76994591920306
"24",1.62783920426329,1.63294133010647,1.65137901327133,1.74198601363738
"25",1.68815630447019,1.81761707840834,1.62996252343925,1.84684326919382
"26",1.58565057079469,1.60569724221099,1.53805650101134,1.77117856335202
"27",1.85224364570219,1.95395667509019,1.68390282981772,1.8340678397304
"28",1.79470055275678,1.83771620202981,1.75127228001923,1.81225739075585
"29",1.64882035030735,1.73522077540428,1.54859550369391,1.47940518950056
"30",1.75738076289999,1.84396756386965,1.72579872345202,1.80301142594357
"31",1.56244519094633,1.75543543596753,1.48456578880662,1.50843229194619
"32",1.73960437576377,1.95517752809594,1.62791669009182,1.63448219027426
"33",1.76121822162281,1.76058814442205,1.71772401098658,1.94922092520204
"34",1.69454640045992,1.72563979317754,1.71502460070303,1.7890467336503
"35",1.50983643222665,1.65667320750537,1.41875017453775,1.61102770231895
"36",1.83232216349208,2.01374626878904,1.71780443973475,1.93435021804548
"37",1.74210865039005,1.91437752669675,1.641557937814,1.61158050441374
"38",1.56962580876915,1.64150669718159,1.559599645313,1.65144213358438
"39",1.58690238425244,1.60379072058614,1.44563364995708,1.48299138253595
"40",1.82210953750234,1.83011331245747,1.91588688614797,1.91438688551576
"41",1.81473245011062,1.92326634816118,1.75981522432675,1.92537267388357
"42",1.74591323670484,1.80653407183906,1.66569950962095,1.63939221626511
"43",1.48716504108553,1.67550686600747,1.43284899357706,1.56329700803724
"44",1.73757998230582,1.88998670975073,1.62604447194675,1.65339718668321
"45",1.58564339261332,1.90016276288851,1.58043981534484,1.77860707238224
"46",1.72017457804836,1.64374020180697,1.65358005922747,1.71236186356124
"47",1.63188744452453,1.78386925007692,1.55606460174781,1.82430269812181
"48",1.56518458135782,1.66952911715378,1.50269559190241,1.62045507364207
"49",1.76786135276657,1.89250463402235,1.62536907584106,1.71768494469197
"50",1.68764460932097,1.73589509900684,1.61704928556758,1.71693810920589
