"","LR-Enet","SVM","RF","XGB"
"1",2.21971761009622,2.27872448022851,2.09001669698588,2.3031303689622
"2",2.00375107157561,2.06751219010781,2.00938931488951,2.0550617609688
"3",1.88699451763072,1.86678859987567,1.94086533664487,2.08899461150006
"4",2.07499857934075,2.02012043435106,1.94879815810458,2.17087372659768
"5",1.94506732002862,1.98920374346713,1.83979351417413,1.90136224847095
"6",2.15994391025519,2.13222244752019,1.99840288059388,2.13440560037461
"7",2.10026148867265,2.1489407190884,2.07376064585892,2.09029367162519
"8",2.28963014818733,2.3685978966125,2.21949142237024,2.30633019015634
"9",2.16011806911884,2.19717253362179,2.09749023904385,2.39694442009436
"10",2.1728637076671,2.19705458106016,2.10381651413326,2.15744677611657
"11",2.03334240751742,2.14653152180308,1.9741899764549,2.09551507034386
"12",2.25688162775617,2.23936584765199,2.12369610203198,2.27461749562417
"13",2.19766330093685,2.17085327782326,2.14096172594668,2.08731280573023
"14",2.14234783643502,2.14421380426603,2.09951135951111,2.13985710753838
"15",2.17112987170848,2.18549746300002,2.13601465854434,2.22950464626932
"16",2.05333249389378,2.04395471297608,1.94862919034733,2.1194599804528
"17",2.02829003665767,2.1142758600003,1.98676670529663,2.09181639551959
"18",1.99248256314906,2.0810813828629,1.95455524073908,2.0136603700474
"19",2.06007055571879,2.17286619236418,2.00528689521194,2.09206606498744
"20",2.1284139489518,2.13352069280595,2.12472565211933,2.37660884857787
"21",2.18585252362055,2.2306057568359,2.18771664751415,2.28796089793027
"22",2.19092267636702,2.31368330634453,2.18647451579702,2.2817792114029
"23",2.16734568110004,2.2403689473449,2.09681686033303,2.09194659844334
"24",2.28366407854949,2.23934557875363,2.20259206902705,2.21866022925642
"25",2.03580781121769,2.12734469878996,2.0201117417372,2.09211558914001
"26",2.37302406163209,2.43207989269745,2.54486123795859,2.54952835700163
"27",2.26251201147469,2.28987468635325,2.30946605233431,2.3243562627913
"28",2.26788194375592,2.28666219702104,2.14176186976006,2.17905977065214
"29",2.05680595518641,2.10041923263392,2.14683406615582,2.19666207656281
"30",2.11994658178585,2.18715180059057,2.03913418069808,2.18713948683466
"31",2.023271277744,2.05192532525406,1.86228112750182,1.88998118065163
"32",1.92945969840253,1.98264444874711,1.84304679877629,2.06610290593154
"33",2.12128899781429,2.15405390693783,2.15972796968465,2.24452598983124
"34",2.28587348114972,2.41099536254566,2.38893874318773,2.51279264585161
"35",2.27669636405347,2.24148166995228,2.26846178344528,2.33534260258653
"36",2.06560789516495,2.1092174265714,2.02314599578655,2.12335737185249
"37",1.92452517193132,1.97859478647827,1.995132073787,1.9531438686453
"38",1.78057760310464,1.86055573115298,1.81123506029514,1.85433151124989
"39",2.0888979853468,2.12561757626294,2.05249811877041,2.16500637627262
"40",2.25470775056453,2.32113254800518,2.23515588192552,2.31129107203841
"41",2.06766480142977,2.12702316137686,2.00319872865509,2.18219806960543
"42",2.10066947725554,2.10780012755059,2.2133575055305,2.29320222342635
"43",2.28746657215634,2.37361094464276,2.35949152098602,2.38960942630725
"44",2.05949366116416,2.12763250115558,2.09660155429644,2.16820282785776
"45",2.0560016616501,2.12920217830937,2.06524962797246,2.26055900896466
"46",2.16686452395209,2.10432548241592,2.10810890952442,2.21480381070516
"47",1.94186497273232,1.96749677869215,1.8497395891106,1.96211144871907
"48",2.04988297925711,2.12790980415264,1.98445178606382,2.05385103489388
"49",2.2107302605341,2.22686899341959,2.17857244926816,2.22392192601759
"50",2.01090183475055,2.04256639633244,1.92836366167265,2.0408860078574
