"","LR-Enet","SVM","RF","XGB"
"1",2.18462609837393,2.10300561672303,2.0842293117567,2.26125948666485
"2",2.07692059373517,2.1484302654291,1.94129344651422,2.09996518532515
"3",1.93580823283737,2.20420326238763,1.74728217149595,1.93544243190268
"4",1.89515899545811,2.13625547895769,1.74415367738109,1.9062488061836
"5",1.77604438124644,2.13229537376235,1.75639853834326,1.78046886589124
"6",2.0454355650089,2.24937757786462,2.01365744204164,2.15587107035588
"7",2.16138234552872,2.09157922963493,2.07171684874455,2.16721550390278
"8",2.11957791178875,2.13715237699581,2.1476485699401,2.15256202214489
"9",2.09278543571078,2.3575101915249,1.886033185086,2.04815155316868
"10",1.89911630795068,2.07910243018392,1.71034701177699,1.83089924755362
"11",2.15162520415968,2.20971259725607,1.92881622856825,2.24140423481159
"12",2.07993962943667,2.22415462084456,2.02838587843154,2.12660494257571
"13",2.07635712410246,2.14683595397675,1.99517728070297,2.2351330766049
"14",1.99872892784804,2.11870805028002,1.93407564739289,2.02506774547617
"15",1.97192652823391,2.00043283493201,1.8906990612139,2.11126558310792
"16",1.97609933945214,2.13778847704384,1.91624183814285,2.04882149943135
"17",2.1794011714935,2.53134534515274,2.08070169157027,2.09777755354661
"18",2.02087016147654,2.31880309424775,1.88634879333444,1.95588169594548
"19",2.17816347133572,2.34735047721856,2.04280304321724,2.08226044520785
"20",1.95689198146542,2.08229661372538,1.88619336363052,1.99739409327019
"21",2.14317567339377,2.46883784197099,2.16054696859739,2.10319710441189
"22",2.05689331385425,2.12639439934226,1.86463853832954,2.04149927997516
"23",2.0831544073678,2.27075962942784,1.95934926708161,2.16074612627182
"24",2.03011728826023,2.07641492184451,2.00966989785634,2.10394950172902
"25",2.08328800867928,2.27119944764464,1.95818055851722,2.29386565456995
"26",1.93729183625556,2.03354873886489,1.91653577460737,2.15195417493456
"27",2.21214484308394,2.43217659047996,2.0317795269018,2.23688986774869
"28",2.12975930021406,2.25105238921668,2.07718465951146,2.16667157950948
"29",1.9512650302923,2.05177003536228,1.8695206078801,1.75190694115824
"30",2.12843164141011,2.31579593292286,2.12865136131475,2.30295126057487
"31",1.9070362606525,2.09316127807683,1.78703293365856,1.8634208533048
"32",2.14223682266363,2.38870734608563,1.99075330989118,2.02755190785741
"33",2.06609278253853,2.18702400914715,1.99288238410496,2.33792908996531
"34",2.03516328035789,2.168480095179,2.02678513678442,2.18774267446222
"35",1.94211860540358,2.09612956422359,1.79700331376651,2.05422476639186
"36",2.30268471966611,2.55496503403898,2.20283839369575,2.45995825019076
"37",2.13572038196657,2.43045447167382,2.01794010701722,2.06658349448996
"38",1.97838704242116,2.07380393656707,2.01264125398422,2.14980104095538
"39",1.87693873292516,1.94269009188613,1.7147554773335,1.78835891836769
"40",2.22360248606079,2.28801396344134,2.28711779384196,2.38509012882681
"41",2.14517578999694,2.3688388700908,2.06425238071785,2.29309289126388
"42",2.12508016106099,2.29646248633841,2.00756617758563,2.01713892742808
"43",1.82782544757762,2.06022792174368,1.70530405056389,1.92719231396247
"44",2.02330087226072,2.21360970905376,1.88510674307479,1.96967453438194
"45",1.95437780282793,2.37395050660079,1.96783507987055,2.23195987175617
"46",2.0853389002841,2.03835425491357,2.02847528884572,2.07598560464004
"47",2.02572323746232,2.28594824659833,1.94603068855664,2.35348794880666
"48",1.88279408229026,2.13333624468616,1.79770356783094,1.91485931361075
"49",2.12237901939292,2.30230720831909,1.9812849667932,2.11991671813145
"50",2.0523133429025,2.21653175705678,1.98908586904903,2.10392418416801
