"","LR-Enet","SVM","RF","XGB"
"1",1.71947527992096,1.76244855271576,1.65131316724722,1.80016979541152
"2",1.59198336295894,1.57958781031777,1.53883811088109,1.58341691926708
"3",1.51605154554685,1.48227284082873,1.51885624593454,1.61572536530688
"4",1.66208146681949,1.56479589260527,1.56351267742799,1.71920884476714
"5",1.56627969984129,1.58663429636074,1.47795830378397,1.51534846560034
"6",1.64855494944752,1.59912102172718,1.54100094722289,1.66011402003329
"7",1.64589511974927,1.70376961877957,1.62761325865094,1.62377208954164
"8",1.76210181586917,1.8071866038093,1.69549170877231,1.78760157882696
"9",1.6631290700407,1.67366360350926,1.64504330355482,1.86659380631323
"10",1.6538178164196,1.64524228197903,1.6025401998273,1.62511187814266
"11",1.52806180596191,1.63686605266731,1.47739426059012,1.61069375033125
"12",1.66155493777579,1.6814439910823,1.58144418764804,1.67697669505305
"13",1.66358590981825,1.68446206753979,1.63465031764487,1.64961919181056
"14",1.67040653938444,1.63914970691577,1.63396944750344,1.6280792606871
"15",1.66867565952258,1.67013364075244,1.6222721528699,1.69552277557723
"16",1.56979220850828,1.61230115280366,1.52441162883727,1.68482903736742
"17",1.61554490084972,1.62313695076591,1.59635045844398,1.6607875086876
"18",1.4992882369002,1.58451578847814,1.55186802171286,1.5624638171598
"19",1.60382588111331,1.68244553911457,1.58258010316147,1.5940034103498
"20",1.70099220543577,1.69180019046648,1.66612414096604,1.85115589415742
"21",1.62909657935923,1.64188782475266,1.61062615292387,1.70239816150154
"22",1.73295580054999,1.82641942674158,1.77242881251859,1.79385982369052
"23",1.68687040517492,1.76254486122158,1.62809476203027,1.60679489355894
"24",1.75485893445446,1.74793323777154,1.71672856728115,1.68485084771826
"25",1.60521397028482,1.65834571983449,1.57733508551276,1.6541010533201
"26",1.80223615446059,1.81333019452586,1.92847690535851,1.95478857081214
"27",1.77762856645259,1.78845837115129,1.71036178893954,1.79644904851504
"28",1.77658440601851,1.79755285969946,1.67800451496633,1.68959315658488
"29",1.47390234003473,1.49612911734918,1.52370290573235,1.51672987912908
"30",1.54781732492488,1.60801681207907,1.53730849524584,1.62122236310203
"31",1.61446947152289,1.63424451495475,1.45727969922619,1.51067601192615
"32",1.51615258583678,1.53038257306308,1.44243494303361,1.60547061983689
"33",1.7074276199298,1.7205282903756,1.71052133678703,1.78999151202405
"34",1.69970834410941,1.78766945314049,1.73910236783852,1.8434920819483
"35",1.81498906372914,1.7441208205757,1.7641950587257,1.83274123653322
"36",1.63030724281995,1.66031842955349,1.56681281956303,1.6624828367541
"37",1.44483831317132,1.45652031506897,1.49774154974863,1.50933454698318
"38",1.380234794154,1.4262455639768,1.41370274897173,1.48137138969214
"39",1.7326948284284,1.692415134202,1.70168560315868,1.746295687966
"40",1.76102033680106,1.8232222000138,1.72467929784539,1.77509278188419
"41",1.62192010622052,1.63248053214644,1.56424865657921,1.60921857731251
"42",1.63294987038785,1.64688308910411,1.72939535022419,1.75193453399482
"43",1.83143406141683,1.88011215448467,1.86416569188733,1.85172127141642
"44",1.5933064461286,1.62425568002904,1.61156600974367,1.61423803998855
"45",1.63657349056264,1.66779924818309,1.62555001320633,1.78895849452983
"46",1.72451600261963,1.6685001336317,1.66573451670787,1.7716466623088
"47",1.56766137723965,1.56556757946841,1.49670661774182,1.55668419556588
"48",1.63689619597975,1.67427671305056,1.57451934696215,1.6321518463064
"49",1.72641110705962,1.74065802870268,1.67245486703873,1.65658544248167
"50",1.52346089352064,1.54483811344215,1.48127890892895,1.5469609516747
