"","LR-Enet","SVM","RF","XGB"
"1",1.78471171426978,1.76168981996692,1.43858279208043,1.77267860555845
"2",1.50498239071958,1.51194107803844,1.01131082825687,1.34321519886781
"3",1.57588345104611,1.5354753757532,1.15069405457703,1.14661838228123
"4",1.69441561813597,1.72257881721963,1.26884282579214,1.59297514406308
"5",1.5390273272261,1.58899729394535,1.12899580899274,1.4198165403883
"6",1.89231047931045,1.93257656057198,1.48128131242259,1.75846088031788
"7",1.6630219477742,1.67870423096983,1.29868543043942,1.26309319279755
"8",1.74235452681703,1.77876215556101,1.4068832387513,1.51944882474126
"9",1.60985169772519,1.62204496312166,1.17379982096109,1.44068138322825
"10",1.70903872507344,1.78549645868969,1.30223115391235,1.5553168680455
"11",1.45970719914682,1.49856799389228,1.05880092122355,1.10384833741014
"12",1.56418624878932,1.55331376584592,1.24769291689977,1.26223473584738
"13",1.72346854121829,1.69005104051895,1.31805656149765,1.66570659856773
"14",1.57190954194173,1.53380397717569,1.18019021094935,1.21982367513573
"15",1.70611333377476,1.76497863051884,1.38539512202203,1.43295310505551
"16",1.73938566688983,1.75496944267313,1.29066303111686,1.48721852038211
"17",1.73475889913071,1.76006784299985,1.29919777035076,1.21700622611356
"18",1.61966004443755,1.7108715981445,1.12376856068795,1.49936505719372
"19",1.63798761076975,1.65049499108693,1.23153470526991,1.536939464635
"20",1.48320364961638,1.5130648773598,1.17102318026447,1.27997694573032
"21",1.68892007633105,1.67256023646763,1.28229854586776,1.51283212494103
"22",1.64390276846759,1.59706055216704,1.34815510003511,1.10666403505924
"23",1.59051173955321,1.61769709966311,1.34488642496783,1.53364514456039
"24",1.64069809736662,1.63714495981571,1.27941429412275,1.55449388434662
"25",1.48300170707713,1.48943174350417,1.14219691939832,1.25347886790861
"26",1.73406411615305,1.69694479378401,1.35034703749252,1.63063336505772
"27",1.60328420416025,1.62134911661494,1.09866519990119,1.33869056243563
"28",1.70505523381811,1.69099923927077,1.39062732923879,1.5477899868111
"29",1.53367979467755,1.52086673151422,1.19615816003926,1.25710122481556
"30",1.59188504598186,1.59972260403103,1.07326411485086,1.42749722760169
"31",1.51761231137724,1.51243607949528,1.19762638754623,1.43608125200259
"32",1.59573577055256,1.69452355015015,1.24105274261305,1.36720672987711
"33",1.77491650772317,1.70858216144469,1.4707019370811,1.4478698614232
"34",1.7298730986296,1.71195286449973,1.13883344397235,1.44345447585591
"35",1.69532775377094,1.70012189603386,1.33570587923181,1.68942529904662
"36",1.441448630524,1.45826219776945,1.15636604788186,1.38618823832897
"37",1.75242998335595,1.76734999513089,1.34408548431647,1.46503193300718
"38",1.6716640220925,1.71325118026301,1.2331899428066,1.63983170983185
"39",1.61927972435038,1.60014861734788,1.267038144184,1.47480805392514
"40",1.9060757829001,1.95900071080421,1.38803472796977,1.7143055698401
"41",1.5965584313635,1.62407805350434,1.22915753888132,1.33840181995981
"42",1.55365244049762,1.60238837815725,1.3621187582465,1.55425771711951
"43",1.56360811241895,1.57529505609907,1.17280597638948,1.44246937013278
"44",1.5747977674577,1.61430062055605,1.16994516144749,1.43010282954774
"45",1.48932057121019,1.53117134753722,1.12234523972927,1.35904803605645
"46",1.62767595383493,1.5742423610656,1.22991325496586,1.46889001322437
"47",1.69834905115253,1.64291438219263,1.24834168196128,1.61937415922475
"48",1.71298682717618,1.66886103424534,1.34391372403136,1.63328880890289
"49",1.64604172367546,1.64191893564902,1.42870875686473,1.47101702324686
"50",1.58856664595107,1.59146237157576,1.27047174126278,1.41257500133909
